accession	TF	annotationSource	description	#motif_id	motif_name	motif_description	source_name	source_version	gene_name	motif_similarity_qvalue	similar_motif_id	similar_motif_description	orthologous_identity	orthologous_gene_name	orthologous_species
ENCFF382YWT	Asciz	directAnnotation	gene is directly annotated	ENCFF382YWT	ENCFF382YWT	ENCFF382YWT	chip	2.0	Asciz	0	None	None	1	None	None
ENCFF844SGQ	mod(mdg4)	directAnnotation	gene is directly annotated	ENCFF844SGQ	ENCFF844SGQ	ENCFF844SGQ	chip	2.0	mod(mdg4)	0	None	None	1	None	None
ENCFF370TDJ	mod(mdg4)	directAnnotation	gene is directly annotated	ENCFF370TDJ	ENCFF370TDJ	ENCFF370TDJ	chip	2.0	mod(mdg4)	0	None	None	1	None	None
ENCFF247YHA	mod(mdg4)	directAnnotation	gene is directly annotated	ENCFF247YHA	ENCFF247YHA	ENCFF247YHA	chip	2.0	mod(mdg4)	0	None	None	1	None	None
ENCFF445IXL	cg	directAnnotation	gene is directly annotated	ENCFF445IXL	ENCFF445IXL	ENCFF445IXL	chip	2.0	cg	0	None	None	1	None	None
ENCFF530RWC	cg	directAnnotation	gene is directly annotated	ENCFF530RWC	ENCFF530RWC	ENCFF530RWC	chip	2.0	cg	0	None	None	1	None	None
ENCFF218BPD	cg	directAnnotation	gene is directly annotated	ENCFF218BPD	ENCFF218BPD	ENCFF218BPD	chip	2.0	cg	0	None	None	1	None	None
ENCFF408FFB	cg	directAnnotation	gene is directly annotated	ENCFF408FFB	ENCFF408FFB	ENCFF408FFB	chip	2.0	cg	0	None	None	1	None	None
ENCFF671DUF	dmrt11E	directAnnotation	gene is directly annotated	ENCFF671DUF	ENCFF671DUF	ENCFF671DUF	chip	2.0	dmrt11E	0	None	None	1	None	None
ENCFF973NCW	dmrt11E	directAnnotation	gene is directly annotated	ENCFF973NCW	ENCFF973NCW	ENCFF973NCW	chip	2.0	dmrt11E	0	None	None	1	None	None
ENCFF587ORL	dmrt11E	directAnnotation	gene is directly annotated	ENCFF587ORL	ENCFF587ORL	ENCFF587ORL	chip	2.0	dmrt11E	0	None	None	1	None	None
ENCFF677UYM	dmrt11E	directAnnotation	gene is directly annotated	ENCFF677UYM	ENCFF677UYM	ENCFF677UYM	chip	2.0	dmrt11E	0	None	None	1	None	None
ENCFF157VUB	CG15710	directAnnotation	gene is directly annotated	ENCFF157VUB	ENCFF157VUB	ENCFF157VUB	chip	2.0	CG15710	0	None	None	1	None	None
ENCFF481RQC	CG15710	directAnnotation	gene is directly annotated	ENCFF481RQC	ENCFF481RQC	ENCFF481RQC	chip	2.0	CG15710	0	None	None	1	None	None
ENCFF971FRL	CG15710	directAnnotation	gene is directly annotated	ENCFF971FRL	ENCFF971FRL	ENCFF971FRL	chip	2.0	CG15710	0	None	None	1	None	None
ENCFF751LIJ	REPTOR-BP	directAnnotation	gene is directly annotated	ENCFF751LIJ	ENCFF751LIJ	ENCFF751LIJ	chip	2.0	REPTOR-BP	0	None	None	1	None	None
ENCFF070NIT	REPTOR-BP	directAnnotation	gene is directly annotated	ENCFF070NIT	ENCFF070NIT	ENCFF070NIT	chip	2.0	REPTOR-BP	0	None	None	1	None	None
ENCFF163QKX	REPTOR-BP	directAnnotation	gene is directly annotated	ENCFF163QKX	ENCFF163QKX	ENCFF163QKX	chip	2.0	REPTOR-BP	0	None	None	1	None	None
ENCFF533DFE	REPTOR-BP	directAnnotation	gene is directly annotated	ENCFF533DFE	ENCFF533DFE	ENCFF533DFE	chip	2.0	REPTOR-BP	0	None	None	1	None	None
ENCFF949NED	lab	directAnnotation	gene is directly annotated	ENCFF949NED	ENCFF949NED	ENCFF949NED	chip	2.0	lab	0	None	None	1	None	None
ENCFF542FUY	lab	directAnnotation	gene is directly annotated	ENCFF542FUY	ENCFF542FUY	ENCFF542FUY	chip	2.0	lab	0	None	None	1	None	None
ENCFF478RRN	lab	directAnnotation	gene is directly annotated	ENCFF478RRN	ENCFF478RRN	ENCFF478RRN	chip	2.0	lab	0	None	None	1	None	None
ENCFF883QZJ	lab	directAnnotation	gene is directly annotated	ENCFF883QZJ	ENCFF883QZJ	ENCFF883QZJ	chip	2.0	lab	0	None	None	1	None	None
ENCFF946TGQ	E(bx)	directAnnotation	gene is directly annotated	ENCFF946TGQ	ENCFF946TGQ	ENCFF946TGQ	chip	2.0	E(bx)	0	None	None	1	None	None
ENCFF844GYM	E(bx)	directAnnotation	gene is directly annotated	ENCFF844GYM	ENCFF844GYM	ENCFF844GYM	chip	2.0	E(bx)	0	None	None	1	None	None
ENCFF779TPF	E(bx)	directAnnotation	gene is directly annotated	ENCFF779TPF	ENCFF779TPF	ENCFF779TPF	chip	2.0	E(bx)	0	None	None	1	None	None
ENCFF534VYE	E(bx)	directAnnotation	gene is directly annotated	ENCFF534VYE	ENCFF534VYE	ENCFF534VYE	chip	2.0	E(bx)	0	None	None	1	None	None
ENCFF196DTQ	CG18599	directAnnotation	gene is directly annotated	ENCFF196DTQ	ENCFF196DTQ	ENCFF196DTQ	chip	2.0	CG18599	0	None	None	1	None	None
ENCFF988JZH	CG18599	directAnnotation	gene is directly annotated	ENCFF988JZH	ENCFF988JZH	ENCFF988JZH	chip	2.0	CG18599	0	None	None	1	None	None
ENCFF338QIL	CG18599	directAnnotation	gene is directly annotated	ENCFF338QIL	ENCFF338QIL	ENCFF338QIL	chip	2.0	CG18599	0	None	None	1	None	None
ENCFF096CKW	CG18599	directAnnotation	gene is directly annotated	ENCFF096CKW	ENCFF096CKW	ENCFF096CKW	chip	2.0	CG18599	0	None	None	1	None	None
